lng,lat,name,strasse,hausnr,plz,ort,anlage,kategorie,zugaenglichkeit,beschreibung,website
8.69222388386275,47.3691752535954,Schulhäuser Nänikon,Baumgartenweg,6,8606,Nänikon,Schulanlage Singvogel,Schule: Primarschule,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.uster.ch/de/bildung/primarschule/primarschulhaus/?action=showschule&schule_id=505
8.69317859729755,47.3687842767272,Klairs - Näniker Vereinslokal,Bühlstrasse,16,8606,Nänikon,,Freizeitanlage: Gemeinschaftszentrum,Räumlichkeiten,,http://klairs.ch/
8.69150547997719,47.3689168175653,Kindergarten Vogelsang,Bühlweg,10,8606,Nänikon,,Schule: Kindergarten,nicht-öffentlicher Raum,,http://www.uster.ch/de/bildung/primarschule/kindergarten/?action=showschule&schule_id=361
8.68466988405149,47.3691836927595,Kindergarten Mettmenried,Mettmenriedstrasse,7,8606,Nänikon,,Schule: Kindergarten,nicht-öffentlicher Raum,,http://www.uster.ch/de/bildung/primarschule/kindergarten/?action=showschule&schule_id=352
8.68674627157531,47.3714048438327,Waldspielgruppe Wurzeln,Murggenstrasse,32,8606,Nänikon,,Kinderbetreuung: Spielgruppe,Räumlichkeiten,,www.waldspielgruppe-wurzeln.ch 
8.69727769571566,47.3696387864498,Spielgruppe Chindernäscht,Schwerzistrasse,21,8606,Nänikon,,Kinderbetreuung: Spielgruppe,Räumlichkeiten,,www.chindernaescht.ch
8.68810401897838,47.369716501257,Spielgruppe Pumuckl,Stationsstrasse,49,8606,Nänikon,,Kinderbetreuung: Spielgruppe,Räumlichkeiten,,www.pumuckl-greifensee.net
8.71169648178654,47.3323415520494,Kinderhaus kidin.ch,Schulweg,1,8616,Riedikon,,Kinderbetreuung: nicht-FEB-Kita,Räumlichkeiten,,
8.71268447157469,47.3314566049895,Naturspielgruppe kidin.ch,Turicaphonstrasse,31,8616,Riedikon,,Kinderbetreuung: Spielgruppe,Räumlichkeiten,,www.kidin.ch
8.73087943170213,47.3456185165011,Schulhaus Oberuster,Aathalstrasse,31,8610,Uster,Schulanlage Oberuster,Schule: Primarschule,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.oberuster.ch/
